Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.Flight,Air.Carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Report.Status,Publication.Date
20200102X82407,Accident,WPR20CA055,2019-12-31,"Elk, CA",United States,39.128611,-123.715833,LLR,Little River,Non-Fatal,Substantial,Airplane,N7095M,Cessna,175,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Factual,13/01/2020
20191231X83852,Accident,CEN20FA049,2019-12-31,"OLATHE, KS",United States,38.846111,-94.736111,OJC,Johnson County Executive,Fatal(2),Destroyed,Airplane,N602TF,Mooney,M20S,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,TAKEOFF,Preliminary,08/01/2020
20200102X54844,Accident,ANC20CA011,2019-12-31,"Fairbanks, AK",United States,64.666945,-148.133334,,N/A,Non-Fatal,Substantial,Airplane,N4667C,Cessna,170,No,1,,Part 91: General Aviation,,Personal,,,,,2,,,Preliminary,02/01/2020
20191230X91852,Accident,CEN20CA048,2019-12-30,"GRANBURY, TX",United States,32.365556,-97.645,,N/A,Non-Fatal,Substantial,Airplane,N519RV,Vans,RV 10,Yes,,,Part 91: General Aviation,,Personal,,,,,1,,,Preliminary,31/12/2019
20191228X62945,,WPR20CA053,2019-12-28,"Missoula, MT",United States,,,MSO,,Unavailable,Substantial,,N4476B,Cessna,170,No,1,,Public Aircraft,,,,,,,,,,Preliminary,03/01/2020
20191228X23853,Accident,CEN20MA044,2019-12-28,"LAFAYETTE, LA",United States,30.176111,-92.0075,LFT,Lafayette Regional Apt,Fatal(5),Destroyed,Airplane,N42CV,Piper,PA 31T,No,2,Turbo Prop,Part 91: General Aviation,,Executive/Corporate,,5,2,2,,IMC,TAKEOFF,Preliminary,06/01/2020
20191225X93635,Accident,ERA20FA056,2019-12-25,"Headland, AL",United States,31.364167,-85.3125,0J6,Headland Municipal,Fatal(1),Substantial,Helicopter,N663SF,Bell,407,No,1,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,,"Viking Aviation, LLC (DBA: Survival Flight, LLC)",1,,,2,VMC,APPROACH,Preliminary,06/01/2020
20191230X95852,Accident,CEN20WA045,2019-12-24,"San Rafael, Mexico",Mexico,,,,,Unavailable,Destroyed,Airplane,,CESSNA,208,,,,"Non-U.S., Commercial",,,,,,,,,CRUISE,Foreign,
20191223X92250,,WPR20CA052,2019-12-23,"Chandler, AZ",United States,,,CHD,,Unavailable,Substantial,,N924PA,Piper,PA28,No,1,,Part 91: General Aviation,,,,,,,,,,Preliminary,03/01/2020
20191223X91929,Accident,WPR20CA056,2019-12-22,"Lake Havasu, AZ",United States,34.44,-114.345555,,N/A,Non-Fatal,Substantial,,N5057Z,Cosmos,Phase II,No,,,Part 91: General Aviation,,Personal,,,1,,1,VMC,,Preliminary,06/01/2020
20191221X83621,Accident,CEN20FA038,2019-12-21,"Evansville, IN",United States,38.095833,-87.540555,EVV,Evansville Rgnl,Fatal(1),Destroyed,Airplane,N601FL,Piper,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,,APPROACH,Preliminary,06/01/2020
20191223X54203,Accident,CEN20CA039,2019-12-20,"Delaware, OH",United States,,,DLZ,,Non-Fatal,Substantial,Airplane,N91WW,Flight Design,CTSW,No,,,Part 91: General Aviation,,Instructional,,,,1,,,,Preliminary,06/01/2020
20191219X84114,Accident,CEN20CA037,2019-12-19,"Beeville, TX",United States,28.3675,-97.796389,BEA,,Non-Fatal,Substantial,Helicopter,N695AP,Robinson,R22,No,1,,Part 91: General Aviation,,Instructional,,,,,1,VMC,,Preliminary,31/12/2019
20191218X74518,Accident,WPR20CA048,2019-12-18,"Caldwell, ID",United States,43.643889,-116.636944,EUL,CALDWELL INDUSTRIAL,Non-Fatal,Substantial,Airplane,N1107C,Piper,PA22,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,,Factual,13/01/2020
20191224X43854,Accident,CEN20LA043,2019-12-18,"Harrison, OH",United States,39.259167,-84.774445,I67,Cincinnati West,Non-Fatal,Substantial,Airplane,N5406R,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,LANDING,Preliminary,02/01/2020
20191219X84839,Accident,CEN20CA036,2019-12-18,"Starkville, MS",United States,,,,,Non-Fatal,Substantial,Airplane,N9566S,Champion,7ECA,No,,,Part 91: General Aviation,,,,,1,,,,,Preliminary,20/12/2019
20191217X72849,Accident,WPR20CA046B,2019-12-17,"Visalia, CA",United States,36.325,-119.398889,KVIS,,Unavailable,,,N961GG,SOCATA,TBM 700,No,,,Part 91: General Aviation,,,,,,,,,,Preliminary,03/01/2020
20191217X72849,Accident,WPR20CA046A,2019-12-17,"Visalia, CA",United States,36.325,-119.398889,KVIS,,Unavailable,Substantial,,N160RW,Beech,300,No,,,Part 91: General Aviation,,,,,,,,,,Preliminary,03/01/2020
20191216X85434,Accident,WPR20CA045,2019-12-16,"Lancaster, CA",United States,,,WJF,,Unavailable,Substantial,,N4098N,Cessna,140,No,1,,Part 91: General Aviation,,,,,,,,,,Preliminary,26/12/2019
20191216X72031,Accident,WPR20CA043,2019-12-16,"Nampa, ID",United States,,,MAN,,Unavailable,Substantial,,N719JS,JOHN Sample,BEARHAWK,No,,,Part 91: General Aviation,,,,,,,,,,Preliminary,03/01/2020
20191216X03953,Accident,WPR20CA050,2019-12-14,"Las Cruces, NM",United States,32.316945,-106.774723,,N/A,Non-Fatal,Substantial,Balloon,N2224H,HEAD,AX8 88B,No,1,,Part 91: General Aviation,,Personal,,,,2,,VMC,,Preliminary,08/01/2020
20191213X05304,Accident,WPR20LA042,2019-12-12,"Carlsbad, CA",United States,33.146389,-117.333611,KCRQ,McCellan,Non-Fatal,Substantial,Airplane,N182EF,Cessna,182,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,CRUISE,Preliminary,06/01/2020
20191211X12602,Accident,WPR20LA038,2019-12-11,"Phoenix, AZ",United States,33.683611,-112.110278,DVT,PHOENIX DEER VALLEY,Non-Fatal,Substantial,Airplane,N2822F,Piper,PA-34-200T,No,2,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,APPROACH,Preliminary,06/01/2020
20191210X03219,Accident,CEN20FA032,2019-12-09,"Victoria, TX",United States,28.8525,-96.918611,,N/A,Fatal(1),Destroyed,Airplane,N4602B,Cessna,208,No,1,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,,Martinaire Aviation,1,,,,VMC,TAKEOFF,Preliminary,06/01/2020
20191209X51617,Accident,ERA20LA050,2019-12-08,"Willow Springs, MO",United States,36.984166,-91.955556,1H5,Willow Springs Memorial,Non-Fatal,Substantial,Airplane,N914AR,Zenith,ZODIAC CH-650,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,TAKEOFF,Preliminary,20/12/2019
20191213X42028,Accident,CEN20FA034,2019-12-08,"Flower Pot, AZ",United States,34.479445,-111.989166,,N/A,Fatal(1),Destroyed,Airplane,N5557Q,Mooney,M20C,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,UNK,,Preliminary,08/01/2020
20191207X83916,Accident,CEN20TA030,2019-12-07,"Omaha, NE",United States,41.194722,-96.1125,MLE,Millard Airport,Non-Fatal,Substantial,Gyroplane,N47EB,Rotary,RAF 2000,Yes,,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,LANDING,Preliminary,10/12/2019
20191209X55719,Accident,CEN20FA035,2019-12-07,,United States,28.919167,-89.653333,,N/A,Fatal(2),Destroyed,Helicopter,N79LP,Bell,407,No,1,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,,Panther Helicopters Inc,2,,,,VMC,CRUISE,Preliminary,08/01/2020
